epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,522.508,1.11008,0.70288,1.23504,0.05051,0.94921,0.94763,0.9806,0.72227,0.96824,0.61487,1.19161,0.02546,0.000965239,0.000965239,0.000965239
38,536.185,1.11905,0.71052,1.28701,0.05518,0.94148,0.94763,0.98059,0.70661,1.02374,0.62878,1.20624,0.0306,0.000963306,0.000963306,0.000963306
39,550.046,1.10704,0.69987,1.23121,0.05322,0.95746,0.93766,0.98299,0.68692,1.07153,0.63726,1.24244,0.0272,0.000961322,0.000961322,0.000961322
40,563.894,1.06664,0.67508,1.23131,0.04623,0.9474,0.94329,0.98226,0.70998,1.00681,0.61472,1.20241,0.02238,0.000959289,0.000959289,0.000959289
41,577.925,1.08568,0.66959,1.21034,0.04612,0.95346,0.95511,0.98391,0.74547,0.92449,0.59425,1.14803,0.02061,0.000957205,0.000957205,0.000957205
42,591.685,1.10738,0.69239,1.24621,0.05546,0.94357,0.95761,0.98222,0.74589,0.92186,0.5973,1.14913,0.01967,0.000955072,0.000955072,0.000955072
43,605.52,1.10788,0.69538,1.26964,0.05741,0.94773,0.94958,0.98183,0.72688,0.9661,0.61023,1.17906,0.01998,0.000952889,0.000952889,0.000952889
44,619.687,1.03913,0.65648,1.16822,0.04093,0.94831,0.94015,0.98214,0.7266,0.98291,0.60605,1.18304,0.02213,0.000950658,0.000950658,0.000950658
45,633.891,1.06941,0.6609,1.19341,0.04843,0.96181,0.93766,0.9839,0.72662,0.99804,0.60571,1.18394,0.02446,0.000948377,0.000948377,0.000948377
46,647.746,1.09001,0.66583,1.1985,0.05778,0.96001,0.93267,0.97978,0.70105,1.00603,0.62091,1.18588,0.02804,0.000946048,0.000946048,0.000946048
47,661.935,1.04361,0.64237,1.18892,0.04679,0.95189,0.93766,0.98176,0.71065,1.00965,0.60706,1.19804,0.02734,0.000943671,0.000943671,0.000943671
48,676.147,1.06164,0.66953,1.19233,0.05009,0.9524,0.93516,0.97745,0.71083,0.99038,0.61912,1.19655,0.02409,0.000941245,0.000941245,0.000941245
49,690.035,1.05574,0.66523,1.1951,0.04801,0.94735,0.94514,0.97973,0.72506,0.94057,0.5989,1.16625,0.02163,0.000938772,0.000938772,0.000938772
50,704.046,1.08018,0.64628,1.17044,0.04998,0.94941,0.93592,0.97902,0.72034,0.94173,0.59608,1.16737,0.02116,0.000936251,0.000936251,0.000936251
51,717.995,1.04311,0.64503,1.19538,0.04842,0.9397,0.94015,0.97647,0.68108,0.94615,0.64847,1.158,0.0221,0.000933683,0.000933683,0.000933683
52,731.935,1.06237,0.66363,1.20496,0.04493,0.94503,0.94314,0.98016,0.69362,0.95795,0.60827,1.18362,0.02126,0.000931067,0.000931067,0.000931067
53,746.073,1.05743,0.64959,1.22386,0.04608,0.95493,0.95113,0.98072,0.75142,0.92432,0.57677,1.14272,0.02088,0.000928405,0.000928405,0.000928405
54,760.13,1.07268,0.63978,1.19068,0.04444,0.95643,0.94264,0.98096,0.73261,0.96886,0.56983,1.17582,0.02307,0.000925697,0.000925697,0.000925697
55,773.785,1.0147,0.61151,1.14833,0.04167,0.94439,0.93169,0.97828,0.70127,0.98889,0.59413,1.22581,0.02435,0.000922942,0.000922942,0.000922942
56,787.946,1.07346,0.63507,1.1709,0.04797,0.95431,0.93761,0.97904,0.72755,0.96456,0.57055,1.1773,0.02298,0.000920142,0.000920142,0.000920142
57,801.697,1.0528,0.63484,1.19055,0.04528,0.95665,0.93766,0.98077,0.7467,0.91238,0.54994,1.14968,0.02083,0.000917296,0.000917296,0.000917296
58,815.772,1.02489,0.61426,1.14488,0.04542,0.95462,0.94418,0.98161,0.7423,0.91559,0.55212,1.16051,0.01855,0.000914405,0.000914405,0.000914405
59,829.802,0.98055,0.59616,1.16766,0.04285,0.95698,0.94514,0.97991,0.72416,0.95611,0.56962,1.18905,0.01826,0.000911469,0.000911469,0.000911469
60,844.083,1.02068,0.62502,1.19961,0.04842,0.95246,0.94264,0.98175,0.74205,0.90941,0.55847,1.15428,0.01975,0.000908488,0.000908488,0.000908488
61,858.512,0.97558,0.60982,1.15139,0.03951,0.95612,0.93516,0.97944,0.71079,0.99291,0.58969,1.19281,0.02638,0.000905463,0.000905463,0.000905463
62,872.813,0.99168,0.62175,1.18648,0.04436,0.946,0.93516,0.9782,0.71567,0.99169,0.5884,1.185,0.02848,0.000902395,0.000902395,0.000902395
63,886.762,1.0143,0.62248,1.16268,0.04377,0.95754,0.94763,0.9845,0.75496,0.89358,0.55102,1.12346,0.02479,0.000899282,0.000899282,0.000899282
64,900.891,1.01726,0.60229,1.16572,0.04633,0.95691,0.94138,0.98471,0.74248,0.92978,0.55243,1.15142,0.02265,0.000896127,0.000896127,0.000896127
65,914.884,0.98177,0.60147,1.13755,0.04062,0.95671,0.93686,0.98252,0.70422,0.92679,0.57944,1.15957,0.02203,0.000892928,0.000892928,0.000892928
66,928.895,0.98949,0.60675,1.17726,0.04359,0.96267,0.94514,0.98534,0.74227,0.92799,0.54722,1.15524,0.02192,0.000889687,0.000889687,0.000889687
