epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,446.731,1.11098,0.70716,1.24662,0.05086,0.9557,0.93766,0.98255,0.70326,1.01731,0.62877,1.24524,0.02253,0.0006436,0.0006436,0.0006436
38,458.172,1.1082,0.7193,1.29098,0.0558,0.95823,0.93766,0.98342,0.71813,0.98075,0.62172,1.1933,0.0266,0.0006337,0.0006337,0.0006337
39,469.763,1.114,0.71072,1.2407,0.05319,0.95187,0.94015,0.98397,0.70563,1.0173,0.63337,1.21488,0.02776,0.0006238,0.0006238,0.0006238
40,481.405,1.0684,0.69018,1.22917,0.04716,0.95934,0.94264,0.98393,0.70239,1.03304,0.63766,1.22801,0.02597,0.0006139,0.0006139,0.0006139
41,493.262,1.08936,0.68641,1.21878,0.04572,0.95472,0.94649,0.98385,0.71243,0.99657,0.62263,1.20204,0.02274,0.000604,0.000604,0.000604
42,504.842,1.09663,0.70629,1.24852,0.05589,0.94978,0.94325,0.9825,0.70638,1.01353,0.62978,1.21461,0.02226,0.0005941,0.0005941,0.0005941
43,516.416,1.11021,0.70308,1.26718,0.05837,0.94741,0.9435,0.98152,0.71422,0.99597,0.62378,1.20021,0.02195,0.0005842,0.0005842,0.0005842
44,528.358,1.04076,0.66754,1.16434,0.04299,0.93824,0.95761,0.98235,0.72973,0.96134,0.60607,1.17036,0.02235,0.0005743,0.0005743,0.0005743
45,540.264,1.08212,0.67896,1.20039,0.04931,0.95884,0.94264,0.98193,0.71463,1.00961,0.61533,1.19975,0.024,0.0005644,0.0005644,0.0005644
46,551.926,1.09209,0.68218,1.19381,0.05831,0.95603,0.94514,0.98123,0.70111,1.06032,0.62554,1.22959,0.0264,0.0005545,0.0005545,0.0005545
47,564.122,1.0477,0.66153,1.18819,0.04774,0.95428,0.93516,0.97808,0.71174,1.01442,0.60988,1.19963,0.02619,0.0005446,0.0005446,0.0005446
48,587.61,1.07124,0.6763,1.19484,0.05059,0.95915,0.93693,0.98081,0.72282,0.98145,0.59823,1.1831,0.02543,0.0005347,0.0005347,0.0005347
49,613.211,1.06981,0.66616,1.20344,0.04868,0.94111,0.95012,0.97866,0.73573,0.94197,0.58161,1.1609,0.02391,0.0005248,0.0005248,0.0005248
50,641.981,1.09159,0.65973,1.17737,0.04903,0.94448,0.94763,0.98198,0.732,0.94332,0.5848,1.16995,0.02191,0.0005149,0.0005149,0.0005149
51,670.975,1.03713,0.65201,1.19702,0.04761,0.9493,0.93516,0.97994,0.69246,1.03601,0.61443,1.23815,0.02069,0.000505,0.000505,0.000505
52,700.754,1.06838,0.67554,1.21958,0.04599,0.95153,0.93025,0.97879,0.67491,1.09038,0.63348,1.27931,0.02046,0.0004951,0.0004951,0.0004951
