穗级表型参数
参数,值
小穗数量,16
主茎长度,221.72
有效穗段长度,221.71
平均小穗长度,29.25
平均小穗宽度,13.50
平均小穗面积,398.80
穗型紧密度指数(ECI),0.072165
小穗分布均匀度(SDU),0.233854
穗型重心偏移度(SCO),0.491719
穗型异质性指数(SHI),0.07807116
左侧小穗数,7
右侧小穗数,9
平均到主茎距离,5.29

小穗级表型参数
小穗序号,长度(px),宽度(px),长宽比,面积(px²)
0,26.1,12.4,2.11,323
1,28.4,13.2,2.16,374
2,26.6,13.2,2.01,351
3,36.7,14.5,2.54,530
4,32.2,13.3,2.42,430
5,35.5,16.0,2.23,567
6,29.1,13.5,2.16,392
7,28.2,12.2,2.31,343
8,28.9,12.7,2.27,368
9,30.0,14.6,2.06,438
