epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.23001,2.53336,4.76498,2.6572,0.23231,0.00741,0.1227,0.00937,0.00215,2.32068,3.58157,2.32776,0.19265,0.0002,0.0002,0.0002
2,15.6626,2.0838,3.63552,2.18767,0.21327,0.33891,0.46626,0.31023,0.09352,1.9038,2.94892,1.84987,0.16649,0.000419897,0.000419897,0.000419897
3,22.8068,2.02111,3.03115,2.02205,0.18818,0.34535,0.57669,0.37882,0.14635,1.92957,2.62088,1.79307,0.15939,0.000639375,0.000639375,0.000639375
4,28.9924,2.07801,2.48307,2.03921,0.19936,0.48655,0.77321,0.56424,0.25596,1.68065,2.38472,1.92748,0.08689,0.000858111,0.000858111,0.000858111
5,35.6803,1.69535,2.51242,1.99485,0.15368,0.61616,0.78528,0.67639,0.31072,1.60932,2.06819,1.93322,0.07528,0.00107578,0.00107578,0.00107578
6,43.4985,1.67921,1.90697,1.89539,0.14049,0.72285,0.70552,0.76033,0.41714,1.3666,1.73745,1.91077,0.05622,0.00129208,0.00129208,0.00129208
7,57.7566,1.66565,1.7896,2.00182,0.12308,0.43747,0.52483,0.48138,0.1488,2.08718,2.25379,2.32261,0.08847,0.00150667,0.00150667,0.00150667
8,70.6643,1.71092,1.60158,1.9997,0.13125,0.55757,0.65031,0.66647,0.33352,1.36078,1.88796,1.9621,0.05278,0.00171926,0.00171926,0.00171926
9,76.9096,1.53018,1.60485,1.9713,0.09077,0.55757,0.65031,0.66647,0.33352,1.36078,1.88796,1.9621,0.05278,0.00192952,0.00192952,0.00192952
10,83.0248,1.67681,1.66569,1.77816,0.11388,0.50819,0.66258,0.63249,0.36354,1.23528,1.53175,1.73356,0.04607,0.00196069,0.00196069,0.00196069
11,89.2496,1.65667,1.61683,1.83058,0.1104,0.86228,0.84049,0.90288,0.49918,1.3709,1.32755,1.79219,0.06215,0.00195155,0.00195155,0.00195155
12,95.875,1.55546,1.36243,1.69862,0.10635,0.86228,0.84049,0.90288,0.49918,1.3709,1.32755,1.79219,0.06215,0.00194147,0.00194147,0.00194147
13,101.88,1.51745,1.27773,1.68405,0.09762,0.76962,0.84049,0.86986,0.40607,1.65695,1.47307,2.00139,0.06345,0.00193048,0.00193048,0.00193048
14,107.882,1.51278,1.25965,1.69331,0.09997,0.87308,0.88625,0.91094,0.55264,1.29512,1.15984,1.65947,0.05448,0.00191858,0.00191858,0.00191858
15,116.872,1.57924,1.26608,1.70144,0.09665,0.87308,0.88625,0.91094,0.55264,1.29512,1.15984,1.65947,0.05448,0.00190578,0.00190578,0.00190578
16,125.477,1.46545,1.16438,1.60701,0.08974,0.85654,0.90184,0.91459,0.54704,1.38149,1.12497,1.69725,0.06339,0.0018921,0.0018921,0.0018921
17,134.61,1.48822,1.09958,1.48856,0.10035,0.87608,0.89571,0.93751,0.54905,1.39158,1.0717,1.68206,0.05757,0.00187754,0.00187754,0.00187754
18,140.666,1.41394,1.10231,1.56605,0.08685,0.92807,0.90798,0.95858,0.64407,1.16322,0.86664,1.46816,0.04671,0.00186213,0.00186213,0.00186213
19,146.526,1.35563,1.0386,1.47057,0.08541,0.92807,0.90798,0.95858,0.64407,1.16322,0.86664,1.46816,0.04671,0.00184588,0.00184588,0.00184588
20,152.847,1.45586,1.01952,1.44094,0.10748,0.94251,0.90516,0.95765,0.65389,1.1677,0.81877,1.45676,0.04075,0.00182881,0.00182881,0.00182881
21,159.438,1.40407,1.04243,1.46097,0.11807,0.9416,0.89027,0.9549,0.62283,1.19867,0.81126,1.47563,0.03987,0.00181093,0.00181093,0.00181093
22,165.428,1.35473,0.97008,1.39343,0.08824,0.9416,0.89027,0.9549,0.62283,1.19867,0.81126,1.47563,0.03987,0.00179225,0.00179225,0.00179225
23,171.759,1.22971,0.94112,1.41282,0.06483,0.91871,0.93252,0.96312,0.6408,1.13404,0.79575,1.37188,0.03915,0.00177281,0.00177281,0.00177281
24,178.025,1.3768,0.93361,1.44518,0.09063,0.89216,0.93865,0.95106,0.62915,1.14778,0.82283,1.38633,0.03962,0.00175261,0.00175261,0.00175261
25,184.045,1.29353,0.97262,1.40487,0.08768,0.89216,0.93865,0.95106,0.62915,1.14778,0.82283,1.38633,0.03962,0.00173168,0.00173168,0.00173168
26,190.29,1.20854,0.88251,1.36561,0.0607,0.89022,0.96319,0.95105,0.63806,1.14606,0.7772,1.36554,0.03649,0.00171004,0.00171004,0.00171004
27,196.374,1.2781,0.89161,1.30506,0.06866,0.94598,0.95706,0.96345,0.68776,1.08988,0.75604,1.2532,0.03311,0.0016877,0.0016877,0.0016877
28,202.69,1.45055,0.93744,1.41529,0.09059,0.94598,0.95706,0.96345,0.68776,1.08988,0.75604,1.2532,0.03311,0.0016647,0.0016647,0.0016647
29,208.879,1.27843,0.8916,1.3541,0.06583,0.93781,0.96319,0.96304,0.68828,1.0513,0.73923,1.24533,0.03156,0.00164105,0.00164105,0.00164105
30,215.34,1.20936,0.85784,1.29864,0.05926,0.93103,0.91095,0.94835,0.60713,1.23605,0.75744,1.41196,0.03437,0.00161678,0.00161678,0.00161678
31,221.245,1.25164,0.8758,1.37006,0.06653,0.93103,0.91095,0.94835,0.60713,1.23605,0.75744,1.41196,0.03437,0.00159191,0.00159191,0.00159191
32,227.208,1.17948,0.84568,1.31654,0.06244,0.89854,0.94479,0.9576,0.64217,1.15131,0.76063,1.34836,0.03246,0.00156646,0.00156646,0.00156646
33,233.593,1.20841,0.80317,1.30191,0.0569,0.95141,0.96099,0.97123,0.70178,1.03685,0.68169,1.23827,0.02963,0.00154047,0.00154047,0.00154047
34,242.565,1.31439,0.83507,1.36638,0.07408,0.95019,0.93621,0.97165,0.69441,1.05273,0.69215,1.25316,0.03332,0.00151395,0.00151395,0.00151395
35,248.583,1.25529,0.82908,1.3115,0.07753,0.95019,0.93621,0.97165,0.69441,1.05273,0.69215,1.25316,0.03332,0.00148694,0.00148694,0.00148694
36,255.033,1.17774,0.80928,1.24669,0.06299,0.86959,0.94091,0.95067,0.59669,1.28512,0.819,1.43652,0.03639,0.00145945,0.00145945,0.00145945
37,262.602,1.21667,0.8302,1.32192,0.0674,0.89546,0.92638,0.95476,0.61495,1.2416,0.79776,1.40638,0.03542,0.00143152,0.00143152,0.00143152
38,277.155,1.21896,0.80961,1.31093,0.06647,0.89546,0.92638,0.95476,0.61495,1.2416,0.79776,1.40638,0.03542,0.00140318,0.00140318,0.00140318
39,291.464,1.25872,0.82407,1.30375,0.0694,0.89731,0.96498,0.96712,0.67836,1.06857,0.71169,1.2778,0.03028,0.00137444,0.00137444,0.00137444
40,305.008,1.18458,0.81022,1.33494,0.07076,0.94186,0.93252,0.96204,0.68622,1.04886,0.69336,1.255,0.02986,0.00134535,0.00134535,0.00134535
41,320.359,1.19632,0.80148,1.27939,0.06823,0.94186,0.93252,0.96204,0.68622,1.04886,0.69336,1.255,0.02986,0.00131593,0.00131593,0.00131593
42,333.91,1.15226,0.76429,1.23769,0.0558,0.92782,0.92025,0.9503,0.65615,1.13782,0.72415,1.30438,0.03671,0.0012862,0.0012862,0.0012862
43,346.113,1.13819,0.75628,1.20839,0.0564,0.92134,0.93413,0.95045,0.62999,1.19547,0.7475,1.35413,0.03656,0.0012562,0.0012562,0.0012562
44,352.604,1.12549,0.79981,1.29861,0.05713,0.92134,0.93413,0.95045,0.62999,1.19547,0.7475,1.35413,0.03656,0.00122596,0.00122596,0.00122596
45,358.714,1.21675,0.81279,1.26136,0.0737,0.90754,0.95092,0.96038,0.66532,1.10805,0.71646,1.29877,0.03111,0.00119551,0.00119551,0.00119551
46,364.877,1.09779,0.78236,1.31253,0.06032,0.91565,0.95092,0.96008,0.6707,1.087,0.70342,1.28312,0.03063,0.00116487,0.00116487,0.00116487
47,373.843,1.13974,0.75819,1.23788,0.06238,0.91565,0.95092,0.96008,0.6707,1.087,0.70342,1.28312,0.03063,0.00113408,0.00113408,0.00113408
48,382.446,1.16409,0.76291,1.30497,0.0728,0.94799,0.94479,0.96234,0.69874,1.02812,0.65453,1.23772,0.03169,0.00110317,0.00110317,0.00110317
49,388.75,1.05105,0.69576,1.21161,0.04487,0.94041,0.96812,0.96377,0.69204,1.07276,0.66405,1.25836,0.03234,0.00107216,0.00107216,0.00107216
50,395.343,1.11971,0.72495,1.25784,0.05061,0.95387,0.95706,0.96362,0.70405,1.03617,0.64557,1.23546,0.03058,0.0010411,0.0010411,0.0010411
51,401.666,1.0712,0.69043,1.23953,0.05023,0.95387,0.95706,0.96362,0.70405,1.03617,0.64557,1.23546,0.03058,0.00101,0.00101,0.00101
52,407.848,1.10857,0.70239,1.21954,0.04773,0.94339,0.93865,0.96291,0.67455,1.13733,0.69506,1.30778,0.03371,0.000978903,0.000978903,0.000978903
53,413.793,1.02954,0.71594,1.24284,0.0441,0.92007,0.96933,0.96605,0.70637,1.03714,0.66368,1.23624,0.0314,0.000947837,0.000947837,0.000947837
