epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,210.28,1.42906,0.78196,1.25166,0.12501,0.88342,0.8773,0.91749,0.51174,1.52901,0.76247,1.22238,0.08001,0.00143152,0.00143152,0.00143152
38,213.726,1.49641,0.8065,1.26114,0.10738,0.88342,0.8773,0.91749,0.51174,1.52901,0.76247,1.22238,0.08001,0.00140318,0.00140318,0.00140318
39,217.204,1.48441,0.80589,1.23445,0.11052,0.8698,0.88344,0.91286,0.47645,1.58904,0.77469,1.22893,0.07922,0.00137444,0.00137444,0.00137444
40,220.381,1.39987,0.76618,1.24899,0.10399,0.87223,0.88344,0.91344,0.44293,1.74156,0.82097,1.27277,0.07781,0.00134535,0.00134535,0.00134535
41,224.119,1.44905,0.78615,1.23441,0.1073,0.87223,0.88344,0.91344,0.44293,1.74156,0.82097,1.27277,0.07781,0.00131593,0.00131593,0.00131593
42,227.502,1.37281,0.74629,1.21013,0.10541,0.92294,0.88344,0.92705,0.49681,1.54929,0.77301,1.24932,0.06347,0.0012862,0.0012862,0.0012862
43,231.071,1.3449,0.71725,1.22062,0.11967,0.93349,0.8773,0.93294,0.56756,1.34536,0.72132,1.20634,0.05399,0.0012562,0.0012562,0.0012562
44,235.155,1.36138,0.75957,1.27691,0.09548,0.93349,0.8773,0.93294,0.56756,1.34536,0.72132,1.20634,0.05399,0.00122596,0.00122596,0.00122596
45,238.704,1.44872,0.7779,1.23072,0.12135,0.918,0.89283,0.93595,0.60368,1.27911,0.68641,1.19689,0.04442,0.00119551,0.00119551,0.00119551
46,242.418,1.37673,0.76256,1.2713,0.09716,0.93109,0.88344,0.93319,0.58192,1.33384,0.69007,1.20071,0.04301,0.00116487,0.00116487,0.00116487
47,246.517,1.38432,0.74398,1.20809,0.10687,0.93109,0.88344,0.93319,0.58192,1.33384,0.69007,1.20071,0.04301,0.00113408,0.00113408,0.00113408
48,253.98,1.45062,0.75515,1.25354,0.12539,0.91315,0.87117,0.91282,0.51373,1.52199,0.73938,1.23766,0.04844,0.00110317,0.00110317,0.00110317
49,263.351,1.31337,0.71489,1.25393,0.08955,0.91561,0.86527,0.90798,0.50123,1.54887,0.75213,1.24625,0.05358,0.00107216,0.00107216,0.00107216
50,270.365,1.38797,0.73803,1.25691,0.09742,0.92001,0.86503,0.92606,0.54815,1.39403,0.72367,1.21318,0.05103,0.0010411,0.0010411,0.0010411
51,274.051,1.31329,0.70694,1.23641,0.09776,0.92001,0.86503,0.92606,0.54815,1.39403,0.72367,1.21318,0.05103,0.00101,0.00101,0.00101
52,277.478,1.37239,0.7215,1.19779,0.1048,0.89813,0.86545,0.91039,0.52981,1.40952,0.72718,1.20854,0.05532,0.000978903,0.000978903,0.000978903
53,280.794,1.25985,0.72871,1.25091,0.08233,0.88402,0.8589,0.8982,0.52379,1.41337,0.7336,1.19895,0.05402,0.000947837,0.000947837,0.000947837
54,284.148,1.34326,0.71127,1.23528,0.09244,0.88402,0.8589,0.8982,0.52379,1.41337,0.7336,1.19895,0.05402,0.000916833,0.000916833,0.000916833
55,287.827,1.34606,0.75994,1.21556,0.09904,0.88636,0.86134,0.90561,0.51689,1.44608,0.75053,1.19616,0.05359,0.00088592,0.00088592,0.00088592
56,291.743,1.29541,0.71014,1.23457,0.09538,0.89322,0.84663,0.89327,0.50928,1.4685,0.74481,1.20702,0.05738,0.00085513,0.00085513,0.00085513
57,298.687,1.29979,0.71132,1.19462,0.09274,0.89322,0.84663,0.89327,0.50928,1.4685,0.74481,1.20702,0.05738,0.000824492,0.000824492,0.000824492
58,308.747,1.30462,0.70099,1.21164,0.09489,0.90812,0.84897,0.90281,0.50069,1.51107,0.73305,1.21659,0.05967,0.000794038,0.000794038,0.000794038
59,318.272,1.28504,0.71204,1.2245,0.0896,0.9041,0.86755,0.91013,0.50247,1.50201,0.72277,1.21557,0.0554,0.000763797,0.000763797,0.000763797
60,328.008,1.28877,0.7048,1.20251,0.09312,0.9041,0.86755,0.91013,0.50247,1.50201,0.72277,1.21557,0.0554,0.000733799,0.000733799,0.000733799
61,337.988,1.26757,0.67891,1.20211,0.08693,0.91192,0.87117,0.91307,0.54434,1.3645,0.69438,1.19418,0.04337,0.000704073,0.000704073,0.000704073
62,347.507,1.23088,0.68365,1.21191,0.08745,0.90997,0.86818,0.91199,0.5429,1.38487,0.70537,1.20057,0.04016,0.000674649,0.000674649,0.000674649
63,357.514,1.29798,0.69419,1.21189,0.09457,0.90997,0.86818,0.91199,0.5429,1.38487,0.70537,1.20057,0.04016,0.000645557,0.000645557,0.000645557
64,367.079,1.37929,0.71549,1.2021,0.09642,0.88531,0.87117,0.89706,0.47878,1.54648,0.73508,1.23345,0.04101,0.000616824,0.000616824,0.000616824
65,377.627,1.31843,0.70452,1.16682,0.10428,0.85985,0.87117,0.88317,0.4302,1.68661,0.77996,1.26759,0.0452,0.000588479,0.000588479,0.000588479
