epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02895,2.58023,4.61751,2.59595,0.22439,0.00741,0.1227,0.00461,0.00137,2.27422,3.44683,2.24645,0.18308,0.0002,0.0002,0.0002
2,13.239,2.21961,3.52123,2.0989,0.23205,0.32076,0.3681,0.30337,0.09101,1.91805,2.83633,1.87514,0.17489,0.000419897,0.000419897,0.000419897
3,18.7838,2.11124,2.95137,1.93689,0.18915,0.30156,0.60736,0.3598,0.11812,2.05469,2.65498,1.78643,0.14176,0.000639375,0.000639375,0.000639375
4,24.0919,2.09405,2.40499,1.93823,0.19077,0.49484,0.76925,0.54967,0.23681,1.84166,2.20193,1.91493,0.08907,0.000858111,0.000858111,0.000858111
5,29.2563,1.80395,2.23406,2.01483,0.15297,0.62731,0.8589,0.73352,0.35459,1.49125,1.83372,2.00516,0.07056,0.00107578,0.00107578,0.00107578
6,34.571,1.68679,1.75003,1.95441,0.13399,0.57741,0.69939,0.66895,0.32785,1.66679,1.82169,2.05467,0.0606,0.00129208,0.00129208,0.00129208
7,39.8921,1.59109,1.68244,1.99141,0.10746,0.64893,0.82822,0.76366,0.4174,1.3469,1.77162,1.95803,0.05582,0.00150667,0.00150667,0.00150667
8,45.1226,1.70272,1.47688,1.86564,0.12663,0.5679,0.7176,0.63377,0.32367,1.39441,1.62869,1.9136,0.04826,0.00171926,0.00171926,0.00171926
9,50.4023,1.53635,1.51362,1.93434,0.09243,0.5679,0.7176,0.63377,0.32367,1.39441,1.62869,1.9136,0.04826,0.00192952,0.00192952,0.00192952
10,55.4048,1.64547,1.37574,1.75529,0.12073,0.77794,0.89571,0.88331,0.47133,1.41145,1.92312,1.76439,0.07758,0.00196069,0.00196069,0.00196069
11,60.3834,1.61157,1.3602,1.79513,0.1156,0.75691,0.78528,0.79493,0.35428,1.60422,1.61638,1.87305,0.06324,0.00195155,0.00195155,0.00195155
12,65.7947,1.54187,1.33111,1.69019,0.11345,0.75691,0.78528,0.79493,0.35428,1.60422,1.61638,1.87305,0.06324,0.00194147,0.00194147,0.00194147
13,71.0322,1.5202,1.18815,1.57657,0.10257,0.77621,0.92025,0.90854,0.49614,1.34145,1.24151,1.73695,0.05386,0.00193048,0.00193048,0.00193048
14,76.3241,1.4332,1.13831,1.58139,0.09329,0.82876,0.8773,0.90709,0.47754,1.48285,1.24972,1.88923,0.06681,0.00191858,0.00191858,0.00191858
15,81.9971,1.45819,1.15578,1.69044,0.08604,0.82876,0.8773,0.90709,0.47754,1.48285,1.24972,1.88923,0.06681,0.00190578,0.00190578,0.00190578
16,88.1325,1.47363,1.1386,1.55939,0.08479,0.86436,0.90798,0.93053,0.57845,1.34816,0.92161,1.67849,0.05205,0.0018921,0.0018921,0.0018921
17,101.235,1.49832,1.07916,1.4602,0.0864,0.90868,0.91573,0.96483,0.58031,1.32093,0.88235,1.66072,0.04544,0.00187754,0.00187754,0.00187754
18,113.775,1.396,1.0281,1.50992,0.08017,0.93558,0.92638,0.97104,0.64273,1.15984,0.8373,1.48951,0.04422,0.00186213,0.00186213,0.00186213
19,125.86,1.38204,1.00387,1.5003,0.08156,0.93558,0.92638,0.97104,0.64273,1.15984,0.8373,1.48951,0.04422,0.00184588,0.00184588,0.00184588
20,138.791,1.44058,0.98933,1.47367,0.08634,0.90416,0.92603,0.96191,0.56773,1.30938,0.94115,1.57985,0.05138,0.00182881,0.00182881,0.00182881
21,152.104,1.36418,1.03195,1.4949,0.08447,0.82952,0.90798,0.93658,0.48871,1.51685,0.93127,1.68849,0.0671,0.00181093,0.00181093,0.00181093
22,164.136,1.39265,0.98729,1.426,0.07925,0.82952,0.90798,0.93658,0.48871,1.51685,0.93127,1.68849,0.0671,0.00179225,0.00179225,0.00179225
23,176.212,1.28259,0.97993,1.42509,0.06389,0.90742,0.96933,0.97262,0.61631,1.23294,0.82621,1.42757,0.04886,0.00177281,0.00177281,0.00177281
24,188.794,1.41665,0.97516,1.41532,0.08529,0.90604,0.94652,0.96598,0.64102,1.16835,0.76223,1.35741,0.04012,0.00175261,0.00175261,0.00175261
25,199.912,1.34594,0.92528,1.36402,0.08865,0.90604,0.94652,0.96598,0.64102,1.16835,0.76223,1.35741,0.04012,0.00173168,0.00173168,0.00173168
26,211.404,1.2694,0.92994,1.34212,0.06498,0.89444,0.93568,0.96188,0.53824,1.36562,0.89037,1.51548,0.03748,0.00171004,0.00171004,0.00171004
27,223.109,1.35184,0.92625,1.29857,0.0746,0.95538,0.91949,0.96508,0.61321,1.19236,0.82242,1.35787,0.03656,0.0016877,0.0016877,0.0016877
28,236.107,1.37967,0.9596,1.33327,0.09611,0.95538,0.91949,0.96508,0.61321,1.19236,0.82242,1.35787,0.03656,0.0016647,0.0016647,0.0016647
29,248.939,1.28273,0.88943,1.31552,0.07302,0.95656,0.92025,0.96631,0.65279,1.08372,0.73083,1.25388,0.03502,0.00164105,0.00164105,0.00164105
30,261.874,1.25266,0.86019,1.27716,0.06252,0.92803,0.94937,0.96717,0.64899,1.09443,0.7136,1.26245,0.0345,0.00161678,0.00161678,0.00161678
31,273.69,1.2126,0.85025,1.29179,0.06695,0.92803,0.94937,0.96717,0.64899,1.09443,0.7136,1.26245,0.0345,0.00159191,0.00159191,0.00159191
32,285.935,1.2101,0.85578,1.28184,0.06829,0.92565,0.94479,0.96556,0.62833,1.1378,0.73258,1.30071,0.03419,0.00156646,0.00156646,0.00156646
33,299.543,1.21193,0.83561,1.26002,0.0619,0.93949,0.9525,0.97137,0.62771,1.13086,0.71499,1.28694,0.0347,0.00154047,0.00154047,0.00154047
34,311.552,1.26883,0.83667,1.28761,0.07634,0.90692,0.93865,0.95859,0.57222,1.29074,0.78216,1.39012,0.04,0.00151395,0.00151395,0.00151395
35,323.994,1.24847,0.81808,1.26508,0.07143,0.90692,0.93865,0.95859,0.57222,1.29074,0.78216,1.39012,0.04,0.00148694,0.00148694,0.00148694
36,331.607,1.19704,0.78935,1.22317,0.05872,0.91991,0.96933,0.97214,0.64404,1.12256,0.69899,1.24569,0.03952,0.00145945,0.00145945,0.00145945
37,341.234,1.22325,0.8254,1.26888,0.06568,0.92808,0.9816,0.97085,0.67075,1.07669,0.66592,1.21362,0.03503,0.00143152,0.00143152,0.00143152
38,353.359,1.25286,0.78149,1.28189,0.06471,0.92808,0.9816,0.97085,0.67075,1.07669,0.66592,1.21362,0.03503,0.00140318,0.00140318,0.00140318
39,365.518,1.3168,0.80633,1.27421,0.07422,0.93949,0.96933,0.96921,0.62012,1.2028,0.70406,1.31389,0.03169,0.00137444,0.00137444,0.00137444
40,376.756,1.254,0.79522,1.29588,0.07658,0.93826,0.96319,0.96247,0.63945,1.15885,0.70773,1.27251,0.034,0.00134535,0.00134535,0.00134535
41,389.39,1.24971,0.80539,1.2643,0.06916,0.93826,0.96319,0.96247,0.63945,1.15885,0.70773,1.27251,0.034,0.00131593,0.00131593,0.00131593
42,401.311,1.20946,0.76546,1.22412,0.05678,0.96352,0.97227,0.97612,0.68855,1.07294,0.67431,1.17336,0.04336,0.0012862,0.0012862,0.0012862
43,412.583,1.23092,0.76471,1.2036,0.05518,0.96943,0.97271,0.97874,0.69407,1.05999,0.66432,1.16806,0.04186,0.0012562,0.0012562,0.0012562
44,418.345,1.20253,0.78149,1.2831,0.06012,0.96943,0.97271,0.97874,0.69407,1.05999,0.66432,1.16806,0.04186,0.00122596,0.00122596,0.00122596
45,423.495,1.24452,0.81049,1.23688,0.07652,0.94037,0.96752,0.96913,0.67199,1.05089,0.70665,1.21251,0.03137,0.00119551,0.00119551,0.00119551
46,428.912,1.15432,0.80271,1.28486,0.0657,0.92347,0.96244,0.95985,0.59372,1.22124,0.78812,1.32362,0.03084,0.00116487,0.00116487,0.00116487
47,440.667,1.20288,0.78108,1.23061,0.068,0.92347,0.96244,0.95985,0.59372,1.22124,0.78812,1.32362,0.03084,0.00113408,0.00113408,0.00113408
48,451.294,1.20883,0.78371,1.28433,0.08184,0.93432,0.95706,0.96596,0.63075,1.13253,0.7362,1.26355,0.02854,0.00110317,0.00110317,0.00110317
49,456.557,1.10816,0.7062,1.20469,0.04884,0.95744,0.96933,0.97432,0.69317,1.01347,0.64924,1.16869,0.03445,0.00107216,0.00107216,0.00107216
50,461.818,1.17461,0.72026,1.23678,0.05513,0.96332,0.96671,0.97443,0.70061,1.0143,0.62902,1.15397,0.03782,0.0010411,0.0010411,0.0010411
51,467.088,1.164,0.71005,1.22556,0.05631,0.96332,0.96671,0.97443,0.70061,1.0143,0.62902,1.15397,0.03782,0.00101,0.00101,0.00101
52,472.226,1.19084,0.71363,1.20701,0.05671,0.9491,0.96933,0.9718,0.67728,1.06346,0.65453,1.18525,0.04023,0.000978903,0.000978903,0.000978903
53,477.203,1.07537,0.70819,1.2106,0.05031,0.96324,0.96461,0.9704,0.65035,1.10438,0.65463,1.22932,0.03139,0.000947837,0.000947837,0.000947837
54,482.076,1.11238,0.68662,1.21159,0.0592,0.96324,0.96461,0.9704,0.65035,1.10438,0.65463,1.22932,0.03139,0.000916833,0.000916833,0.000916833
55,487.241,1.13863,0.73317,1.20677,0.06356,0.95379,0.96933,0.97007,0.65251,1.0967,0.65282,1.23492,0.02793,0.00088592,0.00088592,0.00088592
56,495.976,1.12798,0.6981,1.20261,0.0601,0.952,0.97333,0.97144,0.67598,1.03676,0.64246,1.19924,0.02954,0.00085513,0.00085513,0.00085513
57,508.5,1.06752,0.68955,1.17438,0.0487,0.952,0.97333,0.97144,0.67598,1.03676,0.64246,1.19924,0.02954,0.000824492,0.000824492,0.000824492
58,520.967,1.15258,0.70346,1.19733,0.05208,0.95169,0.96683,0.97334,0.7017,1.0023,0.6257,1.1654,0.03092,0.000794038,0.000794038,0.000794038
59,533.116,1.14416,0.70749,1.21832,0.05295,0.9457,0.96162,0.96993,0.67545,1.07978,0.6587,1.20714,0.0374,0.000763797,0.000763797,0.000763797
60,539.579,1.11056,0.69692,1.20933,0.05363,0.9457,0.96162,0.96993,0.67545,1.07978,0.6587,1.20714,0.0374,0.000733799,0.000733799,0.000733799
61,544.739,1.06675,0.6714,1.15835,0.04547,0.91342,0.9816,0.9674,0.63288,1.19219,0.70362,1.27197,0.04109,0.000704073,0.000704073,0.000704073
62,549.948,1.06301,0.6583,1.15971,0.04926,0.9303,0.98264,0.96938,0.67171,1.0872,0.65591,1.21745,0.03134,0.000674649,0.000674649,0.000674649
63,555.45,1.11189,0.694,1.1985,0.05788,0.9303,0.98264,0.96938,0.67171,1.0872,0.65591,1.21745,0.03134,0.000645557,0.000645557,0.000645557
64,560.574,1.13879,0.69926,1.20403,0.05762,0.94001,0.98773,0.96996,0.6749,1.06637,0.64166,1.20727,0.0281,0.000616824,0.000616824,0.000616824
